Date,Open,High,Low,Close,Adj Close,Volume
7/30/2003,1.76875,1.78375,1.74375,1.76875,1.1909,1607200
7/31/2003,1.76875,1.76875,1.6875,1.7,1.14461,1833600
8/1/2003,1.70125,1.70375,1.66375,1.69125,1.138719,1719200
8/4/2003,1.6875,1.71875,1.64125,1.71875,1.157235,1385600
8/5/2003,1.7125,1.7125,1.665,1.675,1.127778,1742400
8/6/2003,1.65625,1.65625,1.60125,1.6375,1.102529,3007200
8/7/2003,1.6375,1.66375,1.61375,1.6425,1.105896,1733600
8/8/2003,1.6475,1.66,1.59,1.59,1.070547,3044800
8/11/2003,1.59125,1.61875,1.565,1.5825,1.065498,1729600
8/12/2003,1.5825,1.615,1.5825,1.59375,1.073072,1381600
8/13/2003,1.60625,1.61125,1.6,1.60625,1.081488,1910400
8/14/2003,1.61875,1.65375,1.59625,1.6375,1.102529,3041600
8/15/2003,1.63875,1.65,1.63125,1.65,1.110945,880000
8/18/2003,1.65,1.6775,1.60625,1.625,1.094113,5063200
8/19/2003,1.6875,1.80125,1.6875,1.79,1.205207,9913600
8/20/2003,1.76875,1.87125,1.75,1.84625,1.24308,5542400
8/21/2003,1.8375,1.97875,1.82625,1.955,1.316302,7432800
8/22/2003,2.00625,2.04875,2,2.035,1.370166,4632000
8/25/2003,2.05,2.0825,2.05,2.0625,1.388681,3606400
8/26/2003,2.025,2.05,1.97375,1.99375,1.342392,4282400
8/27/2003,1.98125,2.065,1.98125,2.05,1.380265,1772800
8/28/2003,2.0625,2.09,2.03875,2.0625,1.388681,2484000
8/29/2003,2.07,2.12375,2.07,2.07875,1.399622,1029600
9/2/2003,2.09375,2.1725,2.09375,2.1625,1.456011,2410400
9/3/2003,2.175,2.2325,2.175,2.22125,1.495568,3322400
9/4/2003,2.2,2.28125,2.1875,2.2475,1.513242,3259200
9/5/2003,2.235,2.2625,2.2225,2.25,1.514925,3857600
9/8/2003,2.25,2.2625,2.15625,2.23,1.501459,3529600
9/9/2003,2.23,2.26,2.2025,2.2125,1.489677,2056800
9/10/2003,2.19375,2.1975,2.13875,2.155,1.450962,4885600
9/11/2003,2.15625,2.18375,2.1,2.12375,1.429921,2279200
9/12/2003,2.12375,2.12375,1.9625,2.10125,1.414772,8944000
9/15/2003,2.10125,2.17375,2.10125,2.15,1.447596,4904000
